P81928,1,0,0
P48347,1,1,1
P42643,1,0,0
P41932,1,1,0
P49106,1,1,1
Q01525,1,1,0
Q20655,1,1,1
Q01526,1,1,1
P42644,1,1,1
P42645,1,1,1
P48348,1,0,0
P31946,1,1,1
Q9CQV8,1,1,1
P35213,1,1,1
P92177,1,1,1
P62258,1,1,1
P62259,1,1,1
P62260,1,1,1
Q04917,1,1,1
P68510,1,1,1
P61981,1,1,1
P61982,1,1,1
P61983,1,1,1
P31947,1,1,1
O70456,1,1,1
P27348,1,1,1
P68254,1,1,1
P68255,1,1,1
P29310,1,1,1
P63104,1,1,1
P63101,1,1,1
P63102,1,1,1
O42766,1,1,0
P54632,1,1,1
Q5PRD0,1,0,0
Q6PC29,1,0,0
Q80HU0,1,1,0
P16909,1,1,0
P30443,1,1,1
P01892,1,1,1
P04439,1,1,1
P13746,1,1,1
Q06402,1,0,1
Q43309,1,0,1
Q37001,1,0,1
Q9SAR0,1,0,1
Q9STR4,1,0,1
Q9T065,1,0,1
Q9M2Y8,1,0,1
P37821,1,0,1
P30447,1,1,0
P05534,1,1,1
P18462,1,1,0
P30450,1,1,0
P30512,1,1,0
P16188,1,1,1
P16189,1,1,1
P10314,1,1,1
P16190,1,1,0
P30453,1,1,0
P30455,1,1,0
P30456,1,1,0
P30457,1,1,0
P01891,1,1,1
P10316,1,1,1
P30459,1,1,0
Q09160,1,1,0
P03588,1,1,0
P01889,1,1,1
P30460,1,1,1
P30461,1,1,1
P30462,1,1,1
P30464,1,1,0
P30466,1,1,0
P03989,1,1,1
P30685,1,1,0
P18463,1,1,0
Q95365,1,1,0
P30475,1,1,0
Q04826,1,1,0
P30479,1,1,0
P30480,1,1,0
P30481,1,1,0
P30483,1,1,0
P30484,1,1,0
P30485,1,1,0
P30486,1,1,0
P30487,1,1,0
P30488,1,1,0
P18464,1,1,1
P30490,1,1,0
P30491,1,1,0
P30492,1,1,0
P30493,1,1,0
P30495,1,1,0
P18465,1,1,0
P10319,1,1,0
Q29940,1,1,0
Q29836,1,1,0
Q31612,1,1,0
P30498,1,1,0
Q31610,1,1,0
Q29718,1,1,0
P30499,1,1,1
P30501,1,1,1
P04222,1,1,1
P30504,1,1,1
Q9TNN7,1,1,0
Q29963,1,1,0
P10321,1,1,0
P30505,1,1,0
P30508,1,1,0
P30510,1,1,0
Q07000,1,1,0
Q29960,1,1,0
Q95604,1,1,0
Q29865,1,1,0
P22282,1,1,0
O18178,1,1,1
Q15172,1,1,1
Q6PD03,1,1,0
Q15173,1,1,1
Q14738,1,1,1
P38903,1,1,1
Q8RW96,1,0,1
Q13362,1,1,1
Q38845,1,1,0
Q09543,1,1,1
Q54QR9,1,1,0
P36179,1,1,0
P30153,1,1,1
Q76MZ3,1,1,1
Q9UT08,1,1,0
P31383,1,1,0
Q38950,1,1,0
P30154,1,1,0
G5EDR3,1,0,0
P36872,1,1,1
P63151,1,1,1
Q6P1F6,1,0,0
Q12702,1,1,0
Q00362,1,1,1
P36877,1,1,1
P56932,1,1,1
Q7ZX64,1,1,1
Q10428,1,1,0
P78759,1,1,0
P04229,1,1,1
P01912,1,1,1
P13760,1,1,1
P13761,1,1,1
Q30134,1,1,0
Q9TQE0,1,1,0
Q30167,1,1,0
P20039,1,1,1
Q95IE3,1,1,0
Q5Y7A7,1,1,0
Q9GIY3,1,1,0
P01911,1,1,1
Q29974,1,1,0
O04529,1,1,1
P84782,1,0,1
Q9FH31,1,0,0
P86783,1,0,0
Q7NXD4,1,0,1
P14060,1,1,0
P22071,1,1,1
P26439,1,1,1
Q61767,1,1,0
Q62878,1,0,1
Q61694,1,1,0
P27364,1,1,1
Q9H2F3,1,1,0
Q9EQC1,1,0,1
O35048,1,1,1
P9WQP7,1,1,1
P78314,1,0,1
Q9V785,1,1,0
O60239,1,1,1
Q9Z131,1,0,1
Q84SM8,1,0,1
F1CKI6,1,0,1
F1CKI8,1,0,1
F1CKI9,1,0,1
P85078,1,0,0
Q59087,1,0,1
P05147,1,0,1
P46952,1,1,1
P46953,1,1,1
P47096,1,1,1
